timestamp,x,y
114.055,975,553
114.064,975,553
114.072,975,553
114.081,975,553
114.089,975,553
114.098,975,553
114.106,975,553
114.114,975,553
114.123,975,553
114.131,975,553
114.139,975,553
114.147,975,553
114.156,975,553
114.164,975,553
114.172,975,553
114.181,975,553
114.189,975,553
114.197,975,553
114.206,975,553
114.214,975,553
114.223,975,553
114.231,975,553
114.240,975,553
114.248,975,553
114.256,975,553
114.265,975,553
114.273,975,553
114.282,975,553
114.290,975,553
114.298,975,553
114.307,975,553
114.315,975,553
114.323,975,553
114.331,975,553
114.339,975,553
114.347,975,553
114.356,975,553
114.364,975,553
114.373,975,553
114.381,975,553
114.390,975,553
114.398,975,553
114.406,975,553
114.414,975,553
114.423,975,553
114.431,975,553
114.439,975,553
114.448,975,553
114.456,975,553
114.464,975,553
114.472,975,553
114.481,975,553
114.489,975,553
114.497,975,553
114.506,975,553
114.514,975,553
114.522,975,553
114.530,975,553
114.539,975,553
114.547,975,553
114.555,975,553
114.563,975,553
114.572,975,553
114.580,975,553
114.588,975,553
114.596,975,553
114.604,975,553
114.613,975,553
114.621,975,553
114.630,975,553
114.638,975,553
114.646,975,553
114.655,975,553
114.663,975,553
114.671,975,553
114.680,975,553
114.688,975,553
114.696,975,553
114.705,975,553
114.713,975,553
114.721,975,553
114.729,975,553
114.737,975,553
114.746,975,553
114.754,975,553
114.763,975,553
114.771,975,553
114.779,975,553
114.788,975,553
114.796,975,553
114.805,975,553
114.813,975,553
114.822,975,553
114.830,975,553
114.838,975,553
114.846,975,553
114.855,975,553
114.863,975,553
114.871,975,553
114.880,975,553
114.888,975,553
114.896,975,553
114.905,975,553
114.913,975,553
114.922,975,553
114.930,975,553
114.939,975,553
114.947,975,553
114.955,975,553
114.964,975,553
114.972,975,553
114.980,975,553
114.988,975,553
114.997,975,553
115.005,975,553
115.013,975,553
115.022,975,553
115.030,975,553
115.039,975,553
115.047,975,553
115.055,975,553
115.063,975,553
115.072,975,553
115.080,975,553
115.088,975,553
115.097,975,553
115.105,975,553
115.113,975,553
115.121,975,553
115.130,975,553
115.139,975,553
115.147,975,553
115.155,975,553
115.163,975,553
115.172,975,553
115.180,975,553
115.189,975,553
115.197,975,553
115.205,975,553
115.214,975,553
115.222,975,553
115.230,975,553
115.239,975,553
115.247,975,553
115.256,975,553
115.265,975,553
115.273,975,553
115.282,975,553
115.290,975,553
115.298,975,553
115.307,975,553
115.316,975,553
115.324,975,553
115.332,975,553
115.341,975,553
115.349,975,553
115.358,975,553
115.366,975,553
115.374,975,553
115.383,975,553
115.391,975,553
115.400,975,553
115.408,975,553
115.417,975,553
115.425,975,553
115.433,975,553
115.442,975,553
115.450,975,553
115.459,975,553
115.467,975,553
115.476,975,553
115.484,975,553
115.492,975,553
115.501,975,553
115.509,975,553
115.517,975,553
115.526,975,553
115.534,975,553
115.543,975,553
115.551,975,553
115.559,975,553
115.568,975,553
115.577,975,553
115.585,975,553
115.594,975,553
115.602,975,553
115.610,975,553
115.619,975,553
115.627,975,553
115.635,975,553
115.643,975,553
115.651,975,553
115.659,975,553
115.668,975,553
115.677,975,553
115.685,975,553
115.694,975,553
115.702,975,553
115.711,975,553
115.719,975,553
115.728,975,553
115.736,975,553
115.744,975,553
115.753,975,553
115.761,975,553
115.769,975,553
115.778,975,553
115.786,975,553
115.795,975,553
115.803,975,553
115.812,975,553
115.820,975,553
115.829,975,553
115.837,975,553
115.846,975,553
115.855,975,553
115.863,975,553
115.871,975,553
115.880,975,553
115.888,975,553
115.897,975,553
115.905,975,553
115.914,975,553
115.922,975,553
115.930,975,553
115.939,975,553
115.947,975,553
115.956,975,553
115.964,975,553
115.972,975,553
115.980,975,553
115.989,975,553
115.997,975,553
116.006,975,553
116.015,975,553
116.023,975,553
116.032,975,553
116.040,975,553
116.048,975,553
116.056,975,553
116.065,975,553
116.073,975,553
116.082,975,553
116.090,975,553
116.098,975,553
116.107,975,553
116.115,975,553
116.124,975,553
116.132,975,553
116.141,975,553
116.149,975,553
116.158,975,553
116.167,975,553
116.175,975,553
116.184,975,553
116.192,975,553
116.200,975,553
116.209,975,553
116.218,975,553
116.226,975,553
116.235,975,553
116.243,975,553
116.252,975,553
116.260,975,553
116.269,975,553
116.277,975,553
116.286,975,553
116.295,975,553
116.303,975,553
116.311,975,553
116.320,975,553
116.328,975,553
116.337,975,553
116.345,975,553
116.354,975,553
116.362,975,553
116.371,975,553
116.379,975,553
116.387,975,553
116.396,975,553
116.404,975,553
116.413,975,553
116.421,975,553
