time,x,y,dx,dy,speed,dt
1761282800.0,1056.0,260.0,3.0,-2.0,3.6055512,0.001
1761282800.0,1056.0,260.0,0.0,0.0,0.0,0.001
1761282800.0,1056.0,260.0,0.0,0.0,0.0,0.001
1761282800.0,1056.0,260.0,0.0,0.0,0.0,0.001
1761282800.0,1056.0,260.0,0.0,0.0,0.0,0.001
1761282800.0,1056.0,260.0,0.0,0.0,0.0,0.001
1761282800.0,1057.0,259.0,1.0,-1.0,1.4142135,0.001
1761282800.0,1057.0,259.0,0.0,0.0,0.0,0.001
1761282800.0,1057.0,259.0,0.0,0.0,0.0,0.001
1761282800.0,1058.0,259.0,1.0,0.0,1.0,0.001
1761282800.0,1068.0,268.0,10.0,9.0,13.453624,0.001
1761282800.0,1074.0,277.0,6.0,9.0,10.816654,0.001
1761282800.0,1082.0,291.0,8.0,14.0,16.124516,0.001
1761282800.0,1090.0,304.0,8.0,13.0,15.264338,0.001
1761282800.0,1111.0,343.0,21.0,39.0,44.294468,0.001
1761282800.0,1119.0,359.0,8.0,16.0,17.888544,0.001
1761282800.0,1129.0,374.0,10.0,15.0,18.027756,0.001
1761282800.0,1134.0,385.0,5.0,11.0,12.083046,0.001
1761282800.0,1153.0,421.0,19.0,36.0,40.706264,0.001
1761282800.0,1165.0,441.0,12.0,20.0,23.323807,0.001
1761282800.0,1181.0,462.0,16.0,21.0,26.400757,0.001
1761282800.0,1213.0,508.0,32.0,46.0,56.0357,0.001
1761282800.0,1226.0,528.0,13.0,20.0,23.853722,0.001
1761282800.0,1236.0,545.0,10.0,17.0,19.723083,0.001
1761282800.0,1246.0,560.0,10.0,15.0,18.027756,0.001
1761282800.0,1265.0,584.0,19.0,24.0,30.610456,0.001
1761282800.0,1273.0,593.0,8.0,9.0,12.0415945,0.001
1761282800.0,1284.0,608.0,11.0,15.0,18.601076,0.001
1761282800.0,1297.0,618.0,13.0,10.0,16.40122,0.001
1761282800.0,1320.0,640.0,23.0,22.0,31.827662,0.001
1761282800.0,1329.0,648.0,9.0,8.0,12.0415945,0.001
1761282800.0,1342.0,660.0,13.0,12.0,17.691807,0.001
1761282800.0,1351.0,669.0,9.0,9.0,12.727922,0.001
1761282800.0,1352.0,670.0,1.0,1.0,1.4142135,0.001
1761282800.0,1353.0,671.0,1.0,1.0,1.4142135,0.001
1761282800.0,1353.0,671.0,0.0,0.0,0.0,0.001
1761282800.0,1353.0,671.0,0.0,0.0,0.0,0.001
1761282800.0,1353.0,671.0,0.0,0.0,0.0,0.001
1761282800.0,1353.0,671.0,0.0,0.0,0.0,0.001
1761282800.0,1353.0,671.0,0.0,0.0,0.0,0.001
1761282800.0,1353.0,671.0,0.0,0.0,0.0,0.001
1761282800.0,1353.0,671.0,0.0,0.0,0.0,0.001
1761282800.0,1353.0,671.0,0.0,0.0,0.0,0.001
1761282800.0,1353.0,671.0,0.0,0.0,0.0,0.001
1761282800.0,1352.0,671.0,-1.0,0.0,1.0,0.001
1761282800.0,1351.0,671.0,-1.0,0.0,1.0,0.001
1761282800.0,1347.0,669.0,-4.0,-2.0,4.472136,0.001
1761282800.0,1330.0,664.0,-17.0,-5.0,17.720045,0.001
1761282800.0,1320.0,663.0,-10.0,-1.0,10.049875,0.001
1761282800.0,1304.0,663.0,-16.0,0.0,16.0,0.001
1761282800.0,1286.0,663.0,-18.0,0.0,18.0,0.001
1761282800.0,1245.0,663.0,-41.0,0.0,41.0,0.001
1761282800.0,1212.0,663.0,-33.0,0.0,33.0,0.001
1761282800.0,1179.0,663.0,-33.0,0.0,33.0,0.001
1761282800.0,1150.0,663.0,-29.0,0.0,29.0,0.001
1761282800.0,1102.0,663.0,-48.0,0.0,48.0,0.001
1761282800.0,1082.0,663.0,-20.0,0.0,20.0,0.001
1761282800.0,1062.0,663.0,-20.0,0.0,20.0,0.001
1761282800.0,1042.0,663.0,-20.0,0.0,20.0,0.001
1761282800.0,1000.0,664.0,-42.0,1.0,42.0119,0.001
1761282800.0,976.0,664.0,-24.0,0.0,24.0,0.001
1761282800.0,951.0,664.0,-25.0,0.0,25.0,0.001
1761282800.0,930.0,664.0,-21.0,0.0,21.0,0.001
1761282800.0,892.0,664.0,-38.0,0.0,38.0,0.001
1761282800.0,874.0,664.0,-18.0,0.0,18.0,0.001
1761282800.0,860.0,664.0,-14.0,0.0,14.0,0.001
1761282800.0,848.0,664.0,-12.0,0.0,12.0,0.001
1761282800.0,822.0,664.0,-26.0,0.0,26.0,0.001
1761282800.0,810.0,664.0,-12.0,0.0,12.0,0.001
1761282800.0,800.0,664.0,-10.0,0.0,10.0,0.001
